,rlon,rlat,time,TOT_PR,year,month
871,-2.7,-1.08,0,0.0070562884,1999,6
872,-2.68,-1.08,0,0.010590544,1999,6
873,-2.66,-1.08,0,0.017167747,1999,6
874,-2.64,-1.08,0,0.016306715,1999,6
875,-2.62,-1.08,0,0.011608748,1999,6
876,-2.6,-1.08,0,0.005304125,1999,6
877,-2.58,-1.08,0,0.0036874365,1999,6
878,-2.56,-1.08,0,0.0046734232,1999,6
879,-2.54,-1.08,0,0.008690587,1999,6
880,-2.52,-1.08,0,0.00962813,1999,6
1008,-2.84,-1.06,0,0.0017575121,1999,6
1009,-2.82,-1.06,0,0.002135177,1999,6
1010,-2.8,-1.06,0,0.0023716642,1999,6
1011,-2.78,-1.06,0,0.0045859576,1999,6
1012,-2.76,-1.06,0,0.006489349,1999,6
1013,-2.74,-1.06,0,0.005932974,1999,6
1014,-2.72,-1.06,0,0.008967288,1999,6
1015,-2.7,-1.06,0,0.007953116,1999,6
1016,-2.68,-1.06,0,0.004923682,1999,6
1017,-2.66,-1.06,0,0.016450308,1999,6
1018,-2.64,-1.06,0,0.022727223,1999,6
1019,-2.62,-1.06,0,0.02201378,1999,6
1020,-2.6,-1.06,0,0.010015006,1999,6
1021,-2.58,-1.06,0,0.004568584,1999,6
1022,-2.56,-1.06,0,0.0074251946,1999,6
1023,-2.54,-1.06,0,0.010975774,1999,6
1024,-2.52,-1.06,0,0.011523082,1999,6
1152,-2.84,-1.04,0,0.0046208566,1999,6
1153,-2.82,-1.04,0,0.0030688832,1999,6
1154,-2.8,-1.04,0,0.0025399863,1999,6
1155,-2.78,-1.04,0,0.0029207494,1999,6
1156,-2.76,-1.04,0,0.004557704,1999,6
1157,-2.74,-1.04,0,0.0041684243,1999,6
1158,-2.72,-1.04,0,0.005739936,1999,6
1159,-2.7,-1.04,0,0.007741919,1999,6
1160,-2.68,-1.04,0,0.0061351606,1999,6
1161,-2.66,-1.04,0,0.009696413,1999,6
1162,-2.64,-1.04,0,0.021859856,1999,6
1163,-2.62,-1.04,0,0.025047686,1999,6
1164,-2.6,-1.04,0,0.016466323,1999,6
1165,-2.58,-1.04,0,0.005357909,1999,6
1166,-2.56,-1.04,0,0.008289495,1999,6
1167,-2.54,-1.04,0,0.010774282,1999,6
1168,-2.52,-1.04,0,0.010536729,1999,6
1296,-2.84,-1.02,0,0.0069879876,1999,6
